"account_id","class","follower","nation"
"379325675","politician",6976,"DE"
"149813090","politician",27960,"FR"
"384230182","politician",6108,"IT"
"479390782","politician",1785,"IT"
"702661167","politician",25533,"IT"
"15492359","official",11229354,"US"
"85426644","social media",14940351,NA
"1106640378193678339","politician",287,"ES"
"52551600","showbiz",18379637,"US"
"215952307","showbiz",10520844,"US"
"2557521","official",33972681,"US"
"22910295","sport",12769155,"UK"
"14075928","official",11165227,"US"
"213745334","sport",15621958,"ES"
"343627165","sport",19557718,"UK"
"2367911","official",15562807,"US"
"26053643","showbiz",11563056,"US"
"3004231","showbiz",17796565,"US"
"91390383","showbiz",8985115,NA
"19058681","showbiz",17983540,"US"
"8161232","vip",12589650,NA
"185314895","showbiz",12736441,"UK"
"196795202","showbiz",9743768,"US"
"47459700","trademark",8414629,"UK"
"56783491","showbiz",14195509,"US"
"23544596","showbiz",11888984,"US"
"18222378","showbiz",10334007,"US"
"43152482","showbiz",19524117,NA
"23605048","showbiz",11206659,NA
"22940219","showbiz",22554621,"US"
"105119490","showbiz",39323267,"IE"
"157140968","showbiz",27889645,NA
"158487331","sport",43338582,"FR"
"27042513","showbiz",13668792,"AU"
"18681139","showbiz",24822678,NA
"219617448","politician",12794415,"IN"
"62513246","vip",14674328,"UK"
"288333760","sport",8657690,NA
"46335511","showbiz",9821124,"US"
"18220175","showbiz",15409527,"US"
"71201743","sport",29719491,NA
"207809313","politician",11179966,"IN"
"50037051","showbiz",10411080,NA
"740336334","sport",17996058,NA
"24702915","showbiz",9425779,NA
"117778179","showbiz",8651196,"US"
"23617610","showbiz",24383777,NA
"47288005","showbiz",11598732,NA
"26565946","showbiz",64966527,"US"
"92367751","showbiz",9181721,NA
"46452468","showbiz",14242455,"US"
"44409004","showbiz",51171741,"CO"
"20545055","showbiz",8817794,NA
"42384760","sport",9137655,NA
"255388236","showbiz",10297317,"CA"
"19028953","showbiz",12831636,NA
"492399548","showbiz",16008777,NA
"40255499","showbiz",20379247,"PR"
"134758540","official",11819917,"IN"
"95023423","social media",13998194,NA
"972651","official",9807067,"US"
"1115874631","official",13259698,"CN"
